TestCseID,Type,Promotion Type,Scheme Options,Discount Percentage Method,Buy Type,Apply On
PROMOINV340A,,Discount by Value,Scheme by MRP;Scheme by TDR;Combi Scheme,,Amount,Per Tier
PROMOINV341A,,Discount by Value,Scheme by MRP;Scheme by TDR;Combi Scheme,,Amount,Per UOM
PROMOINV342A,,Discount by Value,Scheme by MRP;Scheme by TDR;Combi Scheme,,Amount,Per Product
PROMOINV345A,,Discount by Percentage,Scheme by MRP;Scheme by TDR;Combi Scheme,,Quantity,Per Tier
PROMOINV346A,,Discount by Value,Scheme by MRP;Scheme by TDR;Combi Scheme,,Quantity,Per Tier
PROMOINV347A,,Discount by Value,Scheme by MRP;Scheme by TDR;Combi Scheme,,Quantity,Per UOM
PROMOINV348A,,Discount by Value,Scheme by MRP;Scheme by TDR;Combi Scheme,,Quantity,Per Product
PROMOINV351A,,Discount by Percentage,Scheme by MRP;Scheme by TDR;Scheme by Range;For Every,,Quantity,Per Tier
PROMOINV352A,,Discount by Value,Scheme by MRP;Scheme by TDR;Scheme by Range;For Every,,Quantity,Per Tier
PROMOINV353A,,Discount by Value,Scheme by MRP;Scheme by TDR;Scheme by Range;For Every,,Quantity,Per UOM
PROMOINV354A,,Discount by Value,Scheme by MRP;Scheme by TDR;Scheme by Range;For Every,,Quantity,Per Product
PROMOINV357A,,Discount by Percentage,Scheme by MRP;Scheme by TDR;Scheme by Range;For Every,,Amount,Per Tier
PROMOINV358A,,Discount by Value,Scheme by MRP;Scheme by TDR;Scheme by Range;For Every,,Amount,Per Tier
PROMOINV359A,,Discount by Value,Scheme by MRP;Scheme by TDR;Scheme by Range;For Every,,Amount,Per UOM
PROMOINV360A,,Discount by Value,Scheme by MRP;Scheme by TDR;Scheme by Range;For Every,,Amount,Per Product
PROMOINV363A,,Discount by Percentage,Scheme by MRP;Scheme by TDR;Scheme by Range;Pro-rata;For Every,Non Accumulative,Quantity,Per Tier
PROMOINV364A,,Discount by Value,Scheme by MRP;Scheme by TDR;Scheme by Range;Pro-rata;For Every,Non Accumulative,Quantity,Per Tier
PROMOINV365A,,Discount by Value,Scheme by MRP;Scheme by TDR;Scheme by Range;Pro-rata;For Every,Non Accumulative,Quantity,Per UOM
PROMOINV368A,,Discount by Percentage,Scheme by MRP;Scheme by TDR;Scheme by Range;Pro-rata;For Every,Non Accumulative,Amount,Per Tier
PROMOINV369A,,Discount by Value,Scheme by MRP;Scheme by TDR;Scheme by Range;Pro-rata;For Every,Non Accumulative,Amount,Per Tier
PROMOINV370A,,Discount by Value,Scheme by MRP;Scheme by TDR;Scheme by Range;Pro-rata;For Every,Non Accumulative,Amount,Per UOM
PROMOINV373A,,Discount by Percentage,Scheme by MRP;Scheme by TDR;Scheme by Range;Pro-rata;For Every,Accumulative,Quantity,Per Tier
PROMOINV374A,,Discount by Percentage,Scheme by MRP;Scheme by TDR;Scheme by Range;Pro-rata;For Every,Accumulative,Amount,Per Tier
PROMOINV375A,,Discount by Percentage,Scheme by MRP;Scheme by TDR;Scheme by Range;Quality Purchase Scheme;Pro-rata;For Every,,Quantity,Per Tier
PROMOINV376A,,Discount by Value,Scheme by MRP;Scheme by TDR;Scheme by Range;Quality Purchase Scheme;Pro-rata;For Every,,Quantity,Per Tier
PROMOINV377A,,Discount by Value,Scheme by MRP;Scheme by TDR;Scheme by Range;Quality Purchase Scheme;Pro-rata;For Every,,Quantity,Per UOM
PROMOINV379A,,Discount by Percentage,Scheme by MRP;Scheme by TDR;Scheme by Range;Quality Purchase Scheme;Pro-rata;For Every,,Amount,Per Tier
PROMOINV380A,,Discount by Value,Scheme by MRP;Scheme by TDR;Scheme by Range;Quality Purchase Scheme;Pro-rata;For Every,,Amount,Per Tier
PROMOINV381A,,Discount by Value,Scheme by MRP;Scheme by TDR;Scheme by Range;Quality Purchase Scheme;Pro-rata;For Every,,Amount,Per UOM
PROMOINV383A,,Discount by Percentage,Scheme by MRP;Scheme by TDR;Scheme by Range;Quality Purchase Scheme;For Every,,Quantity,Per Tier
PROMOINV384A,,Discount by Value,Scheme by MRP;Scheme by TDR;Scheme by Range;Quality Purchase Scheme;For Every,,Quantity,Per Tier
PROMOINV385A,,Discount by Value,Scheme by MRP;Scheme by TDR;Scheme by Range;Quality Purchase Scheme;For Every,,Quantity,Per UOM
PROMOINV386A,,Discount by Value,Scheme by MRP;Scheme by TDR;Scheme by Range;Quality Purchase Scheme;For Every,,Quantity,Per Product
PROMOINV388A,,Discount by Percentage,Scheme by MRP;Scheme by TDR;Scheme by Range;Quality Purchase Scheme;For Every,,Amount,Per Tier
PROMOINV389A,,Discount by Value,Scheme by MRP;Scheme by TDR;Scheme by Range;Quality Purchase Scheme;For Every,,Amount,Per Tier
PROMOINV390A,,Discount by Value,Scheme by MRP;Scheme by TDR;Scheme by Range;Quality Purchase Scheme;For Every,,Amount,Per UOM
PROMOINV391A,,Discount by Value,Scheme by MRP;Scheme by TDR;Scheme by Range;Quality Purchase Scheme;For Every,,Amount,Per Product
PROMOINV001ANF,,Discount by Percentage,For Every,,Quantity,Per Tier
PROMOINV002ANF,,Discount by Value,For Every,,Quantity,Per Tier
PROMOINV003ANF,,Discount by Value,For Every,,Quantity,Per UOM
PROMOINV004ANF,,Discount by Value,For Every,,Quantity,Per Product
PROMOINV007ANF,,Discount by Percentage,For Every,,Amount,Per Tier
PROMOINV008ANF,,Discount by Value,For Every,,Amount,Per Tier
PROMOINV009ANF,,Discount by Value,For Every,,Amount,Per UOM
PROMOINV010ANF,,Discount by Value,For Every,,Amount,Per Product
PROMOINV197ANF,,Discount by Percentage,Scheme by MRP,,Quantity,Per Tier
PROMOINV198ANF,,Discount by Value,Scheme by MRP,,Quantity,Per Tier
PROMOINV199ANF,,Discount by Value,Scheme by MRP,,Quantity,Per UOM
PROMOINV200ANF,,Discount by Value,Scheme by MRP,,Quantity,Per Product
PROMOINV203ANF,,Discount by Percentage,Scheme by MRP,,Amount,Per Tier
PROMOINV204ANF,,Discount by Value,Scheme by MRP,,Amount,Per Tier
PROMOINV205ANF,,Discount by Value,Scheme by MRP,,Amount,Per UOM
PROMOINV206ANF,,Discount by Value,Scheme by MRP,,Amount,Per Product
